date,cases
01/01/2010,430
01/02/2010,441
01/03/2010,433
01/04/2010,438
01/05/2010,418
01/06/2010,393
01/07/2010,344
01/08/2010,403
01/09/2010,385
01/10/2010,390
01/11/2010,456
01/12/2010,375
01/13/2010,363
01/14/2010,375
01/15/2010,347
01/16/2010,309
01/17/2010,411
01/18/2010,445
01/19/2010,327
01/20/2010,341
01/21/2010,399
01/22/2010,351
01/23/2010,381
01/24/2010,429
01/25/2010,420
01/26/2010,393
01/27/2010,337
01/28/2010,363
01/29/2010,347
01/30/2010,373
01/31/2010,371
02/01/2010,427
02/02/2010,368
02/03/2010,332
02/04/2010,394
02/05/2010,326
02/06/2010,374
02/07/2010,396
02/08/2010,422
02/09/2010,363
02/10/2010,355
02/11/2010,304
02/12/2010,335
02/13/2010,309
02/14/2010,316
02/15/2010,414
02/16/2010,487
02/17/2010,448
02/18/2010,393
02/19/2010,361
02/20/2010,326
02/21/2010,397
02/22/2010,445
02/23/2010,399
02/24/2010,384
02/25/2010,363
02/26/2010,365
02/27/2010,360
02/28/2010,424
03/01/2010,473
03/02/2010,430
03/03/2010,398
03/04/2010,366
03/05/2010,362
03/06/2010,370
03/07/2010,414
03/08/2010,448
03/09/2010,375
03/10/2010,376
03/11/2010,353
03/12/2010,371
03/13/2010,382
03/14/2010,415
03/15/2010,435
03/16/2010,376
03/17/2010,401
03/18/2010,342
03/19/2010,363
03/20/2010,333
03/21/2010,405
03/22/2010,459
03/23/2010,366
03/24/2010,396
03/25/2010,343
03/26/2010,390
03/27/2010,372
03/28/2010,425
03/29/2010,455
03/30/2010,390
03/31/2010,377
04/01/2010,398
04/02/2010,378
04/03/2010,343
04/04/2010,384
04/05/2010,434
04/06/2010,431
04/07/2010,380
04/08/2010,393
04/09/2010,366
04/10/2010,415
04/11/2010,426
04/12/2010,501
04/13/2010,399
04/14/2010,383
04/15/2010,383
04/16/2010,384
04/17/2010,376
04/18/2010,397
04/19/2010,436
04/20/2010,416
04/21/2010,409
04/22/2010,378
04/23/2010,385
04/24/2010,364
04/25/2010,413
04/26/2010,444
04/27/2010,422
04/28/2010,406
04/29/2010,403
04/30/2010,400
05/01/2010,382
05/02/2010,393
05/03/2010,506
